training episode 1 of 100 complete,  explore val = 0.995, episode reward = 50.0
training episode 2 of 100 complete,  explore val = 0.99, episode reward = 23.0
training episode 3 of 100 complete,  explore val = 0.985, episode reward = 12.0
training episode 4 of 100 complete,  explore val = 0.98, episode reward = 12.0
training episode 5 of 100 complete,  explore val = 0.975, episode reward = 21.0
training episode 6 of 100 complete,  explore val = 0.97, episode reward = 12.0
training episode 7 of 100 complete,  explore val = 0.966, episode reward = 49.0
training episode 8 of 100 complete,  explore val = 0.961, episode reward = 9.0
training episode 9 of 100 complete,  explore val = 0.956, episode reward = 24.0
training episode 10 of 100 complete,  explore val = 0.951, episode reward = 28.0
training episode 11 of 100 complete,  explore val = 0.946, episode reward = 14.0
training episode 12 of 100 complete,  explore val = 0.942, episode reward = 14.0
training episode 13 of 100 complete,  explore val = 0.937, episode reward = 18.0
training episode 14 of 100 complete,  explore val = 0.932, episode reward = 12.0
training episode 15 of 100 complete,  explore val = 0.928, episode reward = 15.0
training episode 16 of 100 complete,  explore val = 0.923, episode reward = 35.0
training episode 17 of 100 complete,  explore val = 0.918, episode reward = 13.0
training episode 18 of 100 complete,  explore val = 0.914, episode reward = 21.0
training episode 19 of 100 complete,  explore val = 0.909, episode reward = 13.0
training episode 20 of 100 complete,  explore val = 0.905, episode reward = 19.0
training episode 21 of 100 complete,  explore val = 0.9, episode reward = 13.0
training episode 22 of 100 complete,  explore val = 0.896, episode reward = 51.0
training episode 23 of 100 complete,  explore val = 0.891, episode reward = 30.0
training episode 24 of 100 complete,  explore val = 0.887, episode reward = 12.0
training episode 25 of 100 complete,  explore val = 0.882, episode reward = 11.0
training episode 26 of 100 complete,  explore val = 0.878, episode reward = 17.0
training episode 27 of 100 complete,  explore val = 0.873, episode reward = 48.0
training episode 28 of 100 complete,  explore val = 0.869, episode reward = 19.0
training episode 29 of 100 complete,  explore val = 0.865, episode reward = 20.0
training episode 30 of 100 complete,  explore val = 0.86, episode reward = 30.0
training episode 31 of 100 complete,  explore val = 0.856, episode reward = 20.0
training episode 32 of 100 complete,  explore val = 0.852, episode reward = 17.0
training episode 33 of 100 complete,  explore val = 0.848, episode reward = 13.0
training episode 34 of 100 complete,  explore val = 0.843, episode reward = 26.0
training episode 35 of 100 complete,  explore val = 0.839, episode reward = 33.0
training episode 36 of 100 complete,  explore val = 0.835, episode reward = 16.0
training episode 37 of 100 complete,  explore val = 0.831, episode reward = 12.0
training episode 38 of 100 complete,  explore val = 0.827, episode reward = 41.0
training episode 39 of 100 complete,  explore val = 0.822, episode reward = 16.0
training episode 40 of 100 complete,  explore val = 0.818, episode reward = 25.0
training episode 41 of 100 complete,  explore val = 0.814, episode reward = 13.0
training episode 42 of 100 complete,  explore val = 0.81, episode reward = 50.0
training episode 43 of 100 complete,  explore val = 0.806, episode reward = 12.0
training episode 44 of 100 complete,  explore val = 0.802, episode reward = 10.0
training episode 45 of 100 complete,  explore val = 0.798, episode reward = 27.0
training episode 46 of 100 complete,  explore val = 0.794, episode reward = 36.0
training episode 47 of 100 complete,  explore val = 0.79, episode reward = 23.0
training episode 48 of 100 complete,  explore val = 0.786, episode reward = 18.0
training episode 49 of 100 complete,  explore val = 0.782, episode reward = 12.0
training episode 50 of 100 complete,  explore val = 0.778, episode reward = 13.0
training episode 51 of 100 complete,  explore val = 0.774, episode reward = 19.0
training episode 52 of 100 complete,  explore val = 0.771, episode reward = 12.0
training episode 53 of 100 complete,  explore val = 0.767, episode reward = 11.0
training episode 54 of 100 complete,  explore val = 0.763, episode reward = 11.0
training episode 55 of 100 complete,  explore val = 0.759, episode reward = 15.0
training episode 56 of 100 complete,  explore val = 0.755, episode reward = 12.0
training episode 57 of 100 complete,  explore val = 0.751, episode reward = 18.0
training episode 58 of 100 complete,  explore val = 0.748, episode reward = 10.0
training episode 59 of 100 complete,  explore val = 0.744, episode reward = 10.0
training episode 60 of 100 complete,  explore val = 0.74, episode reward = 28.0
training episode 61 of 100 complete,  explore val = 0.737, episode reward = 10.0
training episode 62 of 100 complete,  explore val = 0.733, episode reward = 16.0
training episode 63 of 100 complete,  explore val = 0.729, episode reward = 15.0
